ID,Nome,Categoria,Durata,Punti,Prezzo (EUR),Zona,Tipo Professionista,Descrizione
filler-acido-ialuronico,Filler Acido Ialuronico,Ringiovanimento Viso,30-45 min,60,300,Viso,Medico,"Iniezioni di acido ialuronico per volumizzare, correggere rughe o rimodellare contorni."
filler-idrossiapatite-calcio,Filler Idrossiapatite di Calcio (Radiesse),Ringiovanimento Viso,30-45 min,70,400,Viso,Medico,"Filler a base di idrossiapatite di calcio per volumizzare e stimolare la produzione di collagene."
filler-labbra,Filler Labbra,Ringiovanimento Viso,30 min,55,280,Labbra,Medico,"Aumento e definizione del volume delle labbra con acido ialuronico."
filler-zigomi,Filler Zigomi,Ringiovanimento Viso,30-45 min,60,350,Zigomi,Medico,"Volumizzazione e definizione degli zigomi per un effetto lifting naturale."
filler-mento,Filler Mento,Ringiovanimento Viso,30 min,55,300,Mento,Medico,"Rimodellamento del mento per un profilo più armonioso."
botox-tossina-botulinica,Botox (Tossina Botulinica),Ringiovanimento Viso,15-30 min,50,250,Viso,Medico,"Riduzione delle rughe dinamiche (fronte, zampe di gallina, glabella)."
botox-fronte,Botox Fronte,Ringiovanimento Viso,15-20 min,45,220,Fronte,Medico,"Trattamento specifico per le rughe orizzontali della fronte."
botox-perioculare,Botox perioculare,Ringiovanimento Viso,15-20 min,40,200,Contorno Occhi,Medico,"Trattamento delle rughe laterali agli occhi (zampe di gallina)."
botox-glabellare,Botox glabellare,Ringiovanimento Viso,15-20 min,40,200,Glabella,Medico,"Trattamento delle rughe tra le sopracciglia (rughe del leone)."
biostimolazione-biorivitalizzazione,Biostimolazione/Biorivitalizzazione,Ringiovanimento Viso,30-45 min,50,200,Viso,Medico,"Iniezioni di vitamine, aminoacidi o acido ialuronico per idratare e stimolare il collagene."
biorivitalizzazione-collo,Biorivitalizzazione Collo,Ringiovanimento Viso,30 min,45,180,Collo,Medico,"Trattamento rivitalizzante specifico per la pelle del collo."
biorivitalizzazione-decollete,Biorivitalizzazione Décolleté,Ringiovanimento Viso,30 min,45,180,Décolleté,Medico,"Rivitalizzazione della zona del décolleté per una pelle più tonica."
biorivitalizzazione-mani,Biorivitalizzazione Mani,Ringiovanimento Viso,20-30 min,40,150,Mani,Medico,"Ringiovanimento delle mani con trattamento biorivitalizzante."
skinbooster-viso,Skinbooster viso,Ringiovanimento Viso,30 min,55,250,Viso,Medico,"Idratazione profonda con acido ialuronico ad alta concentrazione."
peeling-chimico,Peeling Chimico,Ringiovanimento Viso,30-45 min,45,150,Viso,Medico,"Applicazione di acidi per esfoliare e migliorare texture, macchie e rughe."
microneedling,Microneedling,Ringiovanimento Viso,45-60 min,55,200,Viso,Medico,"Stimolazione della pelle con microaghi per favorire la rigenerazione."
prp-plasma-ricco-piastrine-viso,PRP Viso (Plasma Ricco di Piastrine),Ringiovanimento Viso,60-90 min,80,400,Viso,Medico,"Iniezioni di plasma autologo per stimolare la rigenerazione cutanea (Vampire Facial)."
laser-frazionato,Laser Frazionato (Fraxel),Ringiovanimento Viso,45-60 min,90,450,Viso,Medico,"Trattamento laser per migliorare texture, cicatrici e rughe."
radiofrequenza-viso,Radiofrequenza Viso,Ringiovanimento Viso,30-45 min,50,150,Viso,Medico/Estetista,"Stimolazione del collagene per un effetto lifting non chirurgico."
ultrasuoni-focalizzati-hifu,Ultrasuoni Focalizzati (HIFU),Ringiovanimento Viso,60-90 min,100,500,Viso,Medico,"Lifting non invasivo con ultrasuoni focalizzati ad alta intensità."
morpheus8,Morpheus8 (Needling con Radiofrequenza),Ringiovanimento Viso,45-60 min,95,480,Viso,Medico,"Combinazione di microneedling e radiofrequenza frazionata."
filler-naso,Filler naso,Ringiovanimento Viso,30-45 min,70,350,Naso,Medico,"Correzione non chirurgica del profilo nasale con filler."
fili-riassorbibili,Fili di Sospensione Riassorbibili,Ringiovanimento Viso,45-60 min,120,600,Viso,Medico,"Lifting non chirurgico con fili riassorbibili in PDO o PLLA."
acido-ialuronico-rughe,Acido Ialuronico Anti-Rughe,Ringiovanimento Viso,30 min,55,280,Viso,Medico,"Trattamento mirato delle rughe con acido ialuronico."
ialuronidasi,Ialuronidasi (Dissoluzione Filler),Ringiovanimento Viso,15-30 min,40,200,Viso,Medico,"Enzima per sciogliere l'acido ialuronico in caso di complicazioni."
laser-q-switched,Laser Q-Switched,Macchie e Iperpigmentazione,30-45 min,70,300,Viso/Corpo,Medico,"Rimozione di macchie scure, lentigo solari e trattamento del melasma."
luce-pulsata-ipl,Luce Pulsata (IPL),Macchie e Iperpigmentazione,30-45 min,50,180,Viso/Corpo,Medico/Estetista,"Trattamento per macchie solari, rosacea e capillari visibili."
peeling-schiarente,Peeling Schiarente,Macchie e Iperpigmentazione,30-45 min,45,150,Viso,Medico,"Peeling a base di acidi per schiarire le iperpigmentazioni."
crioterapia-macchie,Crioterapia Macchie,Macchie e Iperpigmentazione,15-30 min,35,100,Viso/Corpo,Medico,"Congelamento localizzato per trattare macchie o lesioni superficiali."
